name,user_score,user_count
Call of Duty: World at War,7.6,78.0
Tom Clancy's Ghost Recon,8.3,22.0
BioShock Infinite,8.5,1647.0
X-Men Legends,8.5,69.0
Mortal Kombat vs. DC Universe,7.5,87.0
Destiny: The Taken King,6.0,1079.0
Destiny,4.7,504.0
Red Faction,8.0,69.0
The Sims: Makin' Magic,8.6,31.0
Mario Party: Island Tour,6.3,117.0
MX Unleashed,9.2,46.0
PaRappa The Rapper,7.4,48.0
Guitar Hero: World Tour,7.5,80.0
Need for Speed: Shift,6.5,134.0
Diablo III,6.4,557.0
LittleBigPlanet 3,7.1,506.0
Star Wars Rogue Leader: Rogue Squadron II,8.6,80.0
Mario Super Sluggers,7.8,58.0
Monopoly,7.8,17.0
Madden NFL 09,4.4,132.0
Batman: Arkham Origins,7.5,685.0
Game Party 2,4.6,7.0
Mortal Kombat: Deception,8.5,90.0
NBA 2K17,6.7,162.0
Toy Story Mania!,6.6,13.0
Star Fox Adventures,7.7,145.0
Madden NFL 25,4.1,91.0
Dynasty Warriors 3,9.1,90.0
Madden NFL 06,6.7,41.0
Shrek 2,8.5,24.0
The Legend of Dragoon,8.4,248.0
Star Wars: The Force Unleashed,7.9,75.0
NBA Live 2002,7.4,8.0
Just Cause 3,6.5,403.0
Chrono Cross,8.1,297.0
Jak 3,8.6,246.0
Kingdom Hearts: Chain of Memories,7.9,84.0
Max Payne 3,7.8,790.0
LEGO Marvel Super Heroes,7.9,76.0
Phineas and Ferb,4.5,8.0
NCAA Football 06,8.5,36.0
Rayman Raving Rabbids 2,8.3,66.0
Kirby: Triple Deluxe,8.8,206.0
Sonic Classic Collection,7.5,28.0
inFAMOUS 2,8.4,932.0
World of Warcraft: Mists of Pandaria,4.8,1265.0
Namco Museum,6.0,5.0
The Sims: Hot Date,7.9,70.0
Demon's Souls,8.9,1441.0
The Orange Box,8.9,797.0
DDRMAX2: Dance Dance Revolution,8.2,11.0
Virtua Fighter 4,8.0,84.0
Mafia III,5.1,1147.0
Sly 2: Band of Thieves,9.0,178.0
Guitar Hero: World Tour,8.0,13.0
Sonic Advance 2,8.3,46.0
Madden NFL 07,6.0,148.0
NBA 2K11,7.6,105.0
Forza Motorsport 6,7.9,863.0
The Evil Within,7.3,1223.0
Metroid Prime 3: Corruption,8.9,491.0
Midnight Club II,8.5,47.0
The Getaway: Black Monday,7.6,47.0
50 Cent: Bulletproof,6.6,129.0
Dead or Alive 3,8.6,44.0
Dragon Quest Monsters: Joker,7.4,27.0
LEGO Star Wars III: The Clone Wars,7.7,10.0
UFC 2009 Undisputed,8.1,47.0
The SpongeBob SquarePants Movie,9.0,54.0
Golden Sun,9.3,198.0
Def Jam: Fight for NY,8.9,73.0
Tom Clancy's Ghost Recon,6.1,27.0
State of Emergency,5.7,33.0
The Urbz: Sims in the City,8.2,24.0
Star Wars: Starfighter,8.0,21.0
Star Wars: Battlefront,9.1,57.0
Madden NFL 17,4.9,83.0
Just Cause 2,8.0,291.0
FIFA Soccer 08,7.1,47.0
Crackdown,8.0,340.0
Wii Party U,6.8,135.0
Dance Dance Revolution X,6.2,6.0
Xenosaga Episode I: Der Wille zur Macht,8.7,99.0
Watch Dogs,5.1,383.0
Kinect Star Wars,3.5,145.0
Dragon's Dogma,8.3,444.0
The Order: 1886,6.6,3172.0
